緯度	     精度	       名稱
21.94623	120.73991	 咱的海產店
24.97923	121.46165	 麵霸
24.98158	121.45824	 武藏田食堂
24.75043	121.74388	 初原麵場(宜蘭宜中店)
24.15218	120.68843	 屋台燒餃子 一中創始店
25.18136	121.44223	 黑市shabu
25.07162	121.48221	 金鮮麻醬麵店
25.02837	121.50654	 南機場營養三明治
25.05606	121.61442	 涓邸居酒屋
24.98921	121.42535	 麵猴麵疙瘩
24.92803	121.22725	 金華永和豆漿
24.20109	120.70413	 無白牛排-潭子平價牛排|高CP美食|必吃牛排|推薦牛排|便宜牛排|人氣美食
23.04655	120.18876	 象泰陽泰式料理
22.66773	120.49990	 HA TANG 和堂石頭火鍋
22.72720	120.30320	 Local day 在地茶莊
24.05326	120.43415	 泰泰好辣
25.04644	121.50714	 溫州大餛飩之家（原中華商場）
24.99219	121.27924	 清心福全桃園龍安店-珍珠奶茶手搖飲料專賣店
24.99219	121.27924	 菓點子-龍安店
24.96751	121.33243	小弟在鶯歌，慢慢接手爸媽的早餐店<br>皇室吉利堡，想改成 四食五 號早餐店<br>營業時間 5：00-10：00<br>假日 5：00-10：30<br>店址:鶯歌區永和街45號
23.01903	120.20016	 蚵男 生蠔 海物 燒烤
22.62315	120.30702	 松仁串燒
23.40607	121.33879	 花蓮玉里。 阿強西瓜
25.01475	121.30119	 日輕好食【桃園總店】桃園減脂餐/桃園健身餐/桃園健康餐/桃園減脂便當/桃園便當外送/桃園會議便當/桃園客製化餐盒/桃園團體便當/桃園商業午餐
23.87928	120.69283	 新街中西式早餐店
25.00303	121.44422	 醬厚呷官財板
24.12546	120.67906	 韓雞Bar-台中興大旗艦店
24.14796	120.66125	 穆門什味鍋物/台中美食/台中火鍋/台中火鍋推薦/西區美食/西區火鍋/勤美美食
22.59595	120.32731	 可不可熟成紅茶-鳳山五甲店
22.64575	120.35102	 可不可熟成紅茶-高雄文山店
25.10262	121.52463	 筠芝和牛本舖
25.06275	121.51679	 大橋頭第一鍋物
25.04377	121.45216	 韓哥哥銅盤烤肉
25.02294	121.46119	 辛海鍋物 x 銅盤烤肉 ｜ 新北人氣火烤兩吃 ｜ 板橋平價吃到飽
25.07859	121.38802	 豪霸漢堡
22.66427	120.30225	 驀然餐酒館-鼓山小酌酒吧|必吃餐酒館|特色餐酒館|在地推薦酒館|巨蛋附近餐酒館|人氣餐酒館
22.00178	120.74381	 等咧粉圓-恆春店
25.04567	121.54928	TUTTI57
24.16927	120.64268	 揚膳 善化牛肉x手工煎餃
22.96978	120.28827	 台北蔥油餅-
23.90802	120.68519	 什一堂烘焙坊
24.15224	120.68481	 盛煎潮牌鍋貼專賣店（中友創始店）
23.47539	120.44390	 爆Q美式炸雞嘉義民族店
24.08535	120.58005	 謝家庄佛跳牆
23.07188	120.29241	 原野屋串燒
23.48896	120.45353	 底厝DiCho
25.17263	121.43977	 鱻將割烹
25.05046	121.45955	 杜芳子古味茶鋪-新莊思源店
25.15106	121.76666	 明蝦王
25.02240	121.47025	 漁網居酒屋-刺身|海鮮燒烤|串燒|生魚片丼
25.00526	121.49888	 日光找食
25.08243	121.48744	 台灣芒果冰專賣店
25.06090	121.49793	 黑堂甜品專賣店
24.81766	120.97076	 三番日式食堂
25.03163	121.55334	 南魂 串燒·酒場
22.65226	120.28477	 鉑聚 炭火料理工坊
25.01069	121.47889	 阿育哥大腸麵線
22.61363	120.35316	 順敏水果行
24.78956	121.01017	 紅葉滷味
25.13392	121.74569	 黑炭燒烤本鋪
22.66261	120.32224	 香園牛肉麵（金山店）
22.65799	120.47652	 小上海香酥雞
24.15154	120.66253	 飪室咖哩 RenshiCurry 勤美店
22.66522	120.32200	 基隆活海產（鱉大王）
25.04909	121.59402	 拱心意義大利麵
24.12685	120.62974	 探扒霸 - 平價午晚餐/南屯美食/南屯美食推薦/南屯小吃/南屯熱炒/南屯炒飯/南屯必吃
23.96346	120.56843	 迥畫廊咖啡 / 自家烘焙咖啡。
25.04421	121.53044	 Rich Daddy cafe & kids 富爸爸餐飲會所
24.73938	121.08799	 好食厚日式料理
23.58483	119.66135	 干單茶飲
24.90485	121.04571	 咻蹦花火冰菓室
24.15301	120.66187	 青畑九號豆製所台中美村店
22.68478	120.49105	 庄稼餐館
23.58650	119.66898	 南寮風車有機農場休息站
25.01224	121.22091	 隼丼 海鮮丼
25.03400	121.44804	 Q Burger 新莊新豐店
25.02797	121.47851	 Q Burger 板橋文聖店
25.05468	121.55370	 又一村 刺身 握壽司 丼飯
24.16581	120.69145	 牛佬牛肉麵專門店
24.16715	120.72455	 牛佬牛肉麵專門店 十期店
24.18670	120.64009	 牛佬牛肉麵專門店 西屯店
24.15955	120.71334	 牛佬牛肉麵專門店-太平店
23.91039	120.68347	 日晨咖啡烘焙
24.95846	121.22295	 Range鉄板居酒屋
22.99199	120.21439	 焼肉ショジョ Yakiniku SHOJO 台南全球旗艦店
22.99259	120.18301	 焼肉ショジョ Yakiniku SHOJO 台南安平店
22.65577	120.30260	 焼肉ショジョ Yakiniku SHOJO 高雄左營店
22.62804	120.32289	 焼肉ショジョ Yakiniku SHOJO 高雄形象概念店
24.15130	120.62742	 焼肉ショジョ Yakiniku SHOJO 台中公益店
23.70099	120.53425	 焼肉ショジョ Yakiniku SHOJO 雲林斗六店
24.15349	120.65180	 根記碗粿大業店
23.77295	120.58312	 林內下厝臭豆腐
25.04464	121.55335	 TopFire頂焰精肉小酒館
25.04237	121.55432	 Golden-蔗家店（延吉總店）
25.02795	121.46136	 朱佳水餃
23.75882	120.61609	 燚茶咖啡
25.03070	121.46762	 瑪賀牛肉麵-板橋店
23.31964	120.26814	 阿妙意麵
25.04292	121.51394	 麥食達韓式料理
21.98096	120.71809	 山男咖啡
24.87193	120.99522	 思茶MissingTea手作飲品 新竹新豐店
23.96240	120.96717	 柒玖冰室
24.98104	121.55751	 台北港生猛活海鮮
24.84047	121.00169	 無名台灣小吃店
25.04768	121.54509	 小晨事(果汁茶飲店)
22.63773	120.36452	 A-BA 阿霸唐揚詐雞
22.65783	120.30864	 洋爸爸健康餐左營店
22.98451	120.23297	 洋爸爸健康餐中華店
22.99918	120.23656	 洋爸爸健康餐
25.03884	121.55389	 棧直火廚房C-kitchen by FUK
25.04444	121.50575	 甜久坊
22.75976	121.13951	 上味食堂-台東美食|台東人氣餐廳|台東小吃|台東銅板美食|台東滷肉飯節嚴選商家|台東滷肉飯|IG打卡餐廳
22.64758	120.30263	 食旅 漫味咖啡 餐酒
23.88120	120.52290	 阿洲伯鹹豬肉
22.98900	120.21015	 幸福鍋貼 府前店
24.79710	121.76369	 仙鼎茶商行
23.97537	121.58426	 杰迪烘焙坊
25.04367	121.53981	 喫上飲
25.05806	121.56229	 | 虎笑麵屋 | 牛肉湯/老虎麵專賣
22.57010	120.35888	 吉品香小火鍋
22.99205	120.20087	 幸福鍋貼 永福店
23.99473	121.60626	 紅茶洋行（國聯店）
23.97634	121.61007	 冬瓜幫 花蓮公園店
24.16964	120.68307	 宏冠排骨麵
24.95508	121.24134	 BONCHu 創意鮮果茶飲
24.80117	120.96341	 飛翔的魚flyingfish_brunch-美式料理餐廳 早午餐 漢堡 三明治 墨西哥烤餅 義大利麵 燉飯 人氣甜點 特色飲品推薦 異國料理
25.05305	121.54731	Schumann's Bistro No. 6 舒曼六號餐館 南京店
25.05674	121.62717	 坤伯傳家餃
24.17448	120.64847	 久違石頭火鍋-(推薦人氣必吃) 海鮮 個人鍋物 宵夜聚餐
24.17490	120.64910	 日光造咖 咖哩製造所 逢甲河南店
24.08975	120.54134	 C.Chill Days(混日子)運動飛鏢吧
24.78126	121.02089	 五億雞排-新竹白飯魚店
25.02721	121.47202	 誠壽司
24.74675	121.75725	 蘭波 Lan Po
24.91798	121.18428	 歐膩ohni麻糬
25.07974	121.57866	小弟在內湖737美食街 賣炒飯炒泡麵<br>Fb可以搜尋熊貓廚房<br>也有uber外送。
24.24068	120.72393	 張張手作 Chang Chang Homemade「手工包子饅頭」
24.91271	121.15928	 邑品涼麵
22.68577	120.31105	Paul Huang<br>如果從高鐵高雄站出發或是來到高雄<br>我們路易莎咖啡華夏店歡迎您<br>Louisa Coffee 路易．莎咖啡(高雄華夏門市)<br>07 348 4613<br>https://goo.gl/maps/ME42G9o2NvkpHSKH7<br>高雄大叔<br>也可以來路易莎咖啡華夏店坐坐喔
24.48874	120.68261	 漢寶哥（上客）炸雞
25.04554	121.45026	 澎湃早午餐
24.16628	120.69438	 超級大盛鐵板燒丼飯專賣店
22.73209	120.34724	 烏弄Unocha-大社中山店
22.63160	120.30280	 香祺上海烤饅頭
24.97987	121.45258	 金城檸檬冰
23.75925	120.61641	 連大牛排小火鍋
25.10938	121.24975	 艾利波波竹圍店
24.92808	121.37578	超推薦，我一星期至少喝10杯
25.06788	121.58539	 杏糖屋
22.61491	120.30522	 涼心涼麵 cool your heart❤️
22.48996	120.38640	 阿香澎湖碳烤
24.96110	121.42091	 頂富現做赤肉羹
24.13517	120.65038	 榛鮮沙拉 so fresh salad
25.15911	121.42421	<img src="https://doc-08-3o-mymaps.googleusercontent.com/untrusted/hostedimage/ou6c6r4ot251igcmt16atv0meo/fgqq4pqi108ka52m2kjppik3m0/1657804500000/eWmL3zOO8_xNC-rMvhpdQRx9TfMdpZzr/*/6AFzc1vbgT4CMsxxJPjq4TJIrKz9UzQATpkXPKOq0sm8xs9OuTUKMi2TUE-ddHY6RlDYpDzM-GNgwSPCxHvUriArEiUj8lBVT6q_Adzr82G1Ij7IMPRBs_CrhVgXN33KbXpRmGgR-NrozdZguk6y1oS-W3GiEyOuPwQ3AKfcFFtRI2f8T9ZSzx1YBCtIMEj9w8M8XlYM?session=0&fife" height="200" width="auto" /><br><br>
23.00625	120.18350	 南法小步舞曲
25.05091	121.54423	 郭厚宇<br><br>感謝 梁大給機會<br>小弟剛升任這邊店長 希望大家給機會捧場
25.03978	121.55221	Allen Chen<br>AQUA Lounge<br>喝喝小酒！抽抽水煙！<br>談談心！<br>忠孝東路四段216巷32弄14號
24.15105	120.65459	 KoDō和牛燒肉
25.03683	121.55000	 大叔們來直接打九折
24.12146	120.65011	鐘小刀<br>賈董的麵<br>台中中山醫學院美食街<br>4/12開幕
25.00583	121.47512	 TEATOP第一味 中和環球店
